,score,extract,type
586,0.6486486486486487,free,same
587,0.6021505376344086,free,other
588,0.7441860465116279,gamme,same
589,0.6111111111111112,gamme,other
590,0.8385650224215246,Mix,same
591,,Mix,other
592,0.9310344827586207,tchai,same
593,0.8247422680412371,tchai,other
594,0.8518518518518519,sibelius,same
595,0.8214285714285714,sibelius,other
596,0.7857142857142857,bach,same
597,0.5435897435897435,bach,other
598,0.7931034482758621,mozart,same
599,0.6494845360824743,mozart,other
600,0.9310344827586207,glazounov,same
601,0.7525773195876289,glazounov,other
602,0.7297297297297297,free,same
603,0.510752688172043,free,other
604,0.8181818181818182,gamme,same
605,0.8044692737430168,gamme,other
606,0.8161434977578476,Mix,same
607,,Mix,other
608,0.8620689655172413,tchai,same
609,0.6443298969072165,tchai,other
610,0.7857142857142857,sibelius,same
611,0.46153846153846156,sibelius,other
612,0.8928571428571429,bach,same
613,0.7282051282051282,bach,other
614,0.6551724137931034,mozart,same
615,0.7268041237113402,mozart,other
616,0.9310344827586207,glazounov,same
617,0.7268041237113402,glazounov,other
618,0.7297297297297297,free,same
619,0.6236559139784946,free,other
620,0.7906976744186046,gamme,same
621,0.7611111111111111,gamme,other
622,0.8295964125560538,Mix,same
623,,Mix,other
624,0.8620689655172413,tchai,same
625,0.711340206185567,tchai,other
626,0.8148148148148148,sibelius,same
627,0.4897959183673469,sibelius,other
628,0.8928571428571429,bach,same
629,0.6717948717948717,bach,other
630,0.7586206896551724,mozart,same
631,0.4845360824742268,mozart,other
632,0.896551724137931,glazounov,same
633,0.7216494845360825,glazounov,other
634,0.6486486486486487,free,same
635,0.7311827956989247,free,other
636,0.8863636363636364,gamme,same
637,0.7094972067039106,gamme,other
638,0.7399103139013453,Mix,same
639,,Mix,other
640,0.9655172413793104,tchai,same
641,0.7216494845360825,tchai,other
642,0.8148148148148148,sibelius,same
643,0.6224489795918368,sibelius,other
644,0.8928571428571429,bach,same
645,0.6512820512820513,bach,other
646,0.9310344827586207,mozart,same
647,0.6443298969072165,mozart,other
648,0.9655172413793104,glazounov,same
649,0.6907216494845361,glazounov,other
650,0.7027027027027027,free,same
651,0.7795698924731183,free,other
652,0.8863636363636364,gamme,same
653,0.7486033519553073,gamme,other
654,0.8609865470852018,Mix,same
655,,Mix,other
656,0.896551724137931,tchai,same
657,0.7010309278350515,tchai,other
658,0.7857142857142857,sibelius,same
